SuvidhaMPaul wrote a review Sep 2016,50,"New Delhi - Goa
Domestic
Economy","New Delhi - Goa
Domestic
Economy","New Delhi - Goa
Domestic
Economy",Better than many other flights,"A great new flight with nice interiors and good leg room. The food served also was far better than many other flights with an attractive packing.
The flight took off on time. The staff can be a bit more courteous though."
Nthapliyal wrote a review Sep 2016,50,"Hyderabad - New Delhi
Domestic
Economy","Hyderabad - New Delhi
Domestic
Economy","Hyderabad - New Delhi
Domestic
Economy",very comfortable Journey with informal ambience.,"Very helpful, caring and candid customer service blended with following strict time schedule smoothly and quality food/snacks with comfortable seating appears to be quiet convenient & elegant to make it a nice travel."
pinakimishra1 wrote a review Sep 2016,50,"New Delhi - Bhubaneswar
Domestic
Economy","New Delhi - Bhubaneswar
Domestic
Economy","New Delhi - Bhubaneswar
Domestic
Economy",Amazing experience with Vistara,awesome experience with Vistara with Flight UK 781 from Delhi to Bhubaneswar. excellent in-flight service and nice hot meals.
AGARWAL2014 wrote a review Sep 2016,30,"Kolkata - New Delhi
Domestic
Economy","Kolkata - New Delhi
Domestic
Economy","Kolkata - New Delhi
Domestic
Economy",First time experience of Vistara Airline,The flight time was 10.10 am but god knows why the boarding on the flight started late and finally the Pilot started its engine at 10.30am and finally we were in the sky at 10.45 am The Pilot gave us an approx time of landing at 12.30 pm at Delhi airport but we finally landed at 12.55 pm There were not much passengers on the flight and the air hostess were very courteous. The food served was decent and we also got complimentary perfume sample of their co-branded company.If you have no problem with delay in flight you must take the experience of Vistara.
SwetaSingh0305 wrote a review Sep 2016,50,"Mumbai - Bengaluru
Domestic
Economy","Mumbai - Bengaluru
Domestic
Economy","Mumbai - Bengaluru
Domestic
Economy",An amazing experience,"A new baby in the Airline Industry,but all praises for the team for doing such a wonderful job. I have always been an ardent admirer of Indigo but must say Vistara is an amazing airline to fly with. On time performance, great hospitality, good food, comfortable seating and not to forget the hop to excel experience by the crew."
manisrinivasster wrote a review Sep 2016,50,"New Delhi - Pune
Domestic
Premium Economy","New Delhi - Pune
Domestic
Premium Economy","New Delhi - Pune
Domestic
Premium Economy",Srinivas Mani,Excellent service. The flight crew were quite courteous and quick to attend the calls. The food served was of top quality. Seats were comfortable. Upholstery very well designed and of top quality. Maintained timing. Ground service was also very good. It can be really called Tata quality.
Jonah_Jagadeshan wrote a review Sep 2016,50,"Hyderabad - New Delhi
Domestic
Premium Economy","Hyderabad - New Delhi
Domestic
Premium Economy","Hyderabad - New Delhi
Domestic
Premium Economy","Good food, service & seating","Vistara provides premium service and is always a pleasure to fly. The flights are always on time and there is better leg space compared to other domestic airlines in India. The food stands out amongst all the other services, the staff is really friendly and ever willing to help."
Ne26 wrote a review Sep 2016,50,"Mumbai - New Delhi
Domestic
Business Class","Mumbai - New Delhi
Domestic
Business Class","Mumbai - New Delhi
Domestic
Business Class",Great experience worth trying,"Crew is extremely helpful and friendly
They have good food options with a full 3 course meal that includes soup.
On a fairly short domestic flight they do a magazine / newspaper service and a cold / hot towel ."
sanjhall wrote a review Sep 2016,40,"New Delhi - Mumbai
Domestic
Economy","New Delhi - Mumbai
Domestic
Economy","New Delhi - Mumbai
Domestic
Economy","good staff, clean and bright aircraft....","a new kid on block, knowing its a tata and singapore joint venture, you feel respect for the airlines but also expect more, that was missing. its like a spicejet or indigo, prices are not cheap, service is shade better, and if you are going to town in mumbai, you land in international airport which is further. the meals served were well presented and tasty"
sehgal01 wrote a review Sep 2016,40,"Hyderabad - New Delhi
Domestic
Economy","Hyderabad - New Delhi
Domestic
Economy","Hyderabad - New Delhi
Domestic
Economy","comfortable seats, more leg space and good food!","Vistara is the newest airline in Indian aviation sector, alliance of Tata and Singapore airlines. It is definitely the best airline at present as it has good comfortable seats with more leg space and the food they serve in flight taste good too and you don't have to buy the food like you buy in other airlines like Indigo and spice jet."
Divyesh U wrote a review Sep 2016,40,"New Delhi - Mumbai
Domestic
Premium Economy","New Delhi - Mumbai
Domestic
Premium Economy","New Delhi - Mumbai
Domestic
Premium Economy",A breath of fresh air!,"An average Indian domestic route traveler isn't spoilt for choices, rather accustomed to selecting least bad from the worst.

While we all know, Tata pioneered the air travel in India, later to be nationalised by the then Government just to abuse the premium travel sector in the name of Air India, and today, the legacy Tata air had set is wiped off by more lathargic than ever, Air India. But it's not just the national carrier to be blamed par se, the full carrier premium airlines like Jet airways compete in incompetence overall too.

Having said all this, and starved of choices, the shiny new Vistara is quite a respite. It brings in the Tata value that we are all pampered with, you will know what I mean if you're a Taj Hotels baby.

Vistara not only has the newest boings and airbus, it's cleaner and visually appealing interiors (cooled enough) are extremely welcoming.

Staff, both, on ground and in the air take good care of you no matter how cranky you are about anything.

Needless to say food served by Taj catering is fresh, warm and homely.

Net net, worth taking a flight when traveling in India!"
sankmik wrote a review Sep 2016,50,"Mumbai - Bengaluru
Domestic
Economy","Mumbai - Bengaluru
Domestic
Economy","Mumbai - Bengaluru
Domestic
Economy",Truely different travel experience,"This airline really stands out in terms of the facility, food and services they provide and once you fly with them, you may never ever want to fly with carriers like AI.

However, number of flights and cities in which they operate are limited and hence not always you can get their service, even if you are ready to spend some extra money."
