Tannu D wrote a review Jan 2020,50,Mumbai - New Delhi,Domestic,Business Class,Great service on this route,Starts at 3.05 am stops at delhi and then goes on. This route is fair flight and exceptional great service.
WOMH TOURS wrote a review Jan 2020,50,New Delhi - Goa,Domestic,Premium Economy,"New Planes, Excellent hospitality","Very nice and helpful cabin crew, yummy hot food. punctual timings. well informed customers in advance. cheerful air hostess. must fly AIR VISTARA"
Haridaskp wrote a review Jan 2020,40,New Delhi - Kochi (Cochin),Domestic,Economy,The stamp of Tata & it's class is evident.,The ambience and class is there for all to see despite it not being in the top league but still there is a royalty to it which shows without being told. The staff well motivated and well mannered working in tandem with a vision. You get the feel of an airline that's professional and wishes to reach places. Wishing them all success.
Dechen l wrote a review Jan 2020,50,Kolkata - Toronto,International,Economy,Service,"Excellent Service by Vistara flight attendants. They provided me with wheelchair when I couldnt succumb my foot pain. They helped me throughout. Extremely satisfied with the service, wonderful help and lovely smile throughout. Cannot thank the whole team enough from the check in counter to all the way to my destination. I flew Economy however gave me a 5 star service. 💎💯💯"
821nidhis wrote a review Jan 2020,50,Mumbai - Colombo,Asia,Premium Economy,Loved the vistara services,"Vistara is the only airways I have really liked so far out of my all travels. Smooth check-in, guided boarding, assured security, well trained cabin crew, Indian food, seats, cleanliness, all were up to the mark. For the first time I ate food in the flight and really loved it. Thank you vistara. Highly recommend this airline"
