,Laptop Name,Price,Overall Rating,Total Ratings,Total Reviews,Processor,RAM,OS,Storage,Screen,Warranty
335,DELL Inspiron Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) Inspiron 3501 Laptop,"₹41,729",3.8,267 Ratings , 34 Reviews,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,Microsoft Office Home and Student 2019
336,acer Swift 3 Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) SF313-51-506P Thin and Light Laptop,"₹59,434",3.5,20 Ratings , 6 Reviews,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,33.78 cm (13.3 inch) Display,"Acer Care Center, Acer Quick Access"
337,DELL Inspiron 5000 Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) 5491 2 in 1 Laptop,"₹57,390",3.5,19 Ratings , 0 Reviews,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,Microsoft Office Home and Student 2019
338,MSI Prestige 14 Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) Prestige 14 A10RAS...,"₹84,990",4.1,47 Ratings , 6 Reviews,Intel Core i7 Processor (10th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,"Cooler Boost, True Color 2.0, Nahimic 3, Creator Center"
339,Lenovo Ideapad 3 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) 14IIL05 Thin and Light Laptop,"₹37,990",3.7,976 Ratings , 148 Reviews,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,35.56 cm (14 inch) Display,1 Year Onsite Warranty
340,Avita Pura Ryzen 3 Dual Core 3200U - (8 GB/256 GB SSD/Windows 10 Home in S Mode) NS14A6INU541-SRGYB Th...,"₹37,990",3.9,47 Ratings , 10 Reviews,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display,18 Months Warranty + 6 Months Extended Warranty (6 Months Extended Warranty Upon Online Product Registration on www.avita-india.com)
341,Avita Liber Core i5 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) NS14A8INF542-CS Thin and Light Laptop,"₹40,890",4.1,106 Ratings , 9 Reviews,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display,Microsoft Office 365 (for 1 Year)
342,ALIENWARE Core i9 10th Gen - (32 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 2080 wit...,"₹3,19,990",4.9,9 Ratings , 2 Reviews,Intel Core i9 Processor (10th Gen),32 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display,Microsoft Office Home and Student 2019
343,HP 14s Ryzen 3 Quad Core - (8 GB/512 GB SSD/Windows 10 Home) 14s-fq1029AU Thin and Light Laptop,"₹41,990",4.2,42 Ratings , 12 Reviews,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,"Microsoft Office Home & Student 2019, HP Documentation, HP SSRM, HP Smart, HP Support Assistant"
344,ASUS Vivobook 14 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) X415JA-EK104T Thin and Light Lapto...,"₹34,890",4.2,5 Ratings , 1 Reviews,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,35.56 cm (14 inch) Display,"Windows 10, 1 Year McAfee"
