Panchtattva wrote a review May 2018,50,New Delhi - Mumbai,Domestic,"New Delhi - Mumbai
Domestic
Premium Economy",One of the best airlines to travel with an infant,"This was the third time we chose Vistara while travelling with 7 month old baby. Every time their care, service and dedication amused me. Aircrew constantly checked if my baby was comfortable, I fasted both mine and my baby's seat belts properly or not. They won't serve you tea/coffee/any hot beverage if you are holding a baby for safety caution, which is absolutely right thing to do. Quality of meal is always satisfactory. This way this airline has become our top favourite. I will recommend everyone to travel with Vistara specially if you are travelling with an infant."
travelnotes2018 wrote a review May 2018,50,Kolkata - New Delhi,Domestic,"Kolkata - New Delhi
Domestic
Economy",Still the best,Vistara came with all round good service and specially good food. They have cut back on the desserts in the recent months but they are still the best in their class.
ilina m wrote a review May 2018,50,Kolkata - New Delhi,Domestic,"Kolkata - New Delhi
Domestic
Economy",Best choice for budget airline,"Good leg space, comfortable flight, hot complimentary food and friendly staff make this the best option to fly."
Prateek Jain wrote a review May 2018,50,New Delhi - Goa,Domestic,"New Delhi - Goa
Domestic
Premium Economy",Amazing Experience at 35000 Feet,"I went to Goa with My friends for My Birthday Party. One of My friend told me about his Experience of Vistara Airlines, So i booked the same. It was a great Experience to Travel in Best Airline in India Especially Premium Economy Cabin, which is only available in Vistara. I was in an Evening Flight. The Cabin was Colorful and Clean and Cabin Crew was very courteous and the Dinner they served was mouth watering, especially the ""Deseret"". Over All Experience from Boarding Pass issue to reaching the destination was wonderful.

Happy Flying with the Best Airline in India!!!"
sreesomnath2009 wrote a review May 2018,50,Chennai - Port Blair,Domestic,"Chennai - Port Blair
Domestic
Economy",Nice experience,"I went to Portblair through Vistara, timely departure and arrival. Lunch is also good. Quantity is less. Very neat airline. Courteous staff"
PekayNoida wrote a review May 2018,10,New Delhi - Pune,Domestic,"New Delhi - Pune
Domestic
Economy",A most non sensical airline,"The most unprofessional airline. Flt to depart at 5.25 pm leaves at 2.30 am next morning.
1. Airlines staff missing and no proper announcements
2. 1st delay to 8.30 pm, then 9 pm, then 10 pm then 11.30 pm then 1 am.
3. This flt was originating from lucknow so they are fully aware of the status
4. The CC on line , no one picks up despite the phone ringing for 30 to 40 mins at 10 pm
5. If flt is being delayed by more than 3 hours, the airline is responsible to give dinner coupon. No person to answer"
travellerinsight wrote a review May 2018,50,New Delhi - Goa,Domestic,"New Delhi - Goa
Domestic
Premium Economy",Time to get pampered in the skies,"Vistara airlines is worth all the money you pay. I would say the amount you pay.. You get more value for your money. The hospitality is super. The crew is well mannered, and they see to it that one feels comfortable during the course of the flight.
With good amount of seating space this is an amazing airlines which is ruling the Indian skies with its on time service and good in flight service as well. My flight was truly amazing. The all girl crew was good enough to take care of a passengers."
Babu Roy wrote a review May 2018,50,Bengaluru - New Delhi,Domestic,"Bengaluru - New Delhi
Domestic
Premium Economy",Great Airline to fly with,"I flew by Vistara the first time a year back. Since then, I have become a fan. I have found the ground staff extremely helpful. I usually have my father flying with me. He is old and physically challenged and the staff has always been very helpful, taking personal care to ensure that my father is comfortable. From then on, I prefer to fly Vistara. I wish Vistara covered more destinations from Bangalore."
Swarndeep B wrote a review May 2018,50,Mumbai - New Delhi,Domestic,"Mumbai - New Delhi
Domestic
Premium Economy",Comfortable Journey,If one wants to travel in comfort and be looked after and cared then choose Vistara you will never regret your decision .
NiteLifeMedia wrote a review May 2018,50,Mumbai - New Delhi,Domestic,"Mumbai - New Delhi
Domestic
Economy",Great Experience and Friendly Crew,I fly regularly with Vistara and find their service to be better than the competition. The leg room is better and more spacious. The food is decent . What sets them apart from the rest is the friendly crew that are always smiling and polite and go out of their way to make sure your experience is great.
narsu wrote a review May 2018,50,Hyderabad - New Delhi,Domestic,"Hyderabad - New Delhi
Domestic
Economy",Best Airline,"As I have chosen first time Vistara Airline, The flight may be small. But When I boarded the flight is very much convenient and comfortable.The staff very courteous and careful in their behaviour. At the lounge the staff picked up my luggage and put it on priority delivery etc.Meals served is hot and tasty even though small in quantity and I recommend the service to continue."
Shamik R wrote a review May 2018,40,Kolkata - New Delhi,Domestic,"Kolkata - New Delhi
Domestic
Economy",Comfortable but nothing special,"This was my first flying experience with Vistara. While the flight maintained the time, leg space was OK, food was good, somehow I missed the wow factor in the journey!

It was a family vacation trip. I was expecting better service in terms of boarding process, in-flight entertainment, food quality from the airlines. Probably the warmth of the airline staff was missing, also did not use aero-bridge facility while boarding in Kolkata."
Vikram K wrote a review May 2018,50,Mumbai - New Delhi,Domestic,"Mumbai - New Delhi
Domestic
Economy",Comfortable Safe & Respectable Flight,"Smooth checkin at the int airport
An excellent flight with a smooth take off and landing
The Aircraft was also very new and nice
They served dinner which too was delicious
Crew was very courteous and helpful
Toilets were clean
Comfortable seats with enough leg space, I'm 6'2''
No extra charges for tits & bits here and there
Bagage arrived on the belt in good time"
SOMNATH N wrote a review May 2018,50,New Delhi - Kolkata,Domestic,"New Delhi - Kolkata
Domestic
Economy",Excellent,Vistara serves the best in the economic range of all flights in India. The leg space are spacious. The food quality are good and you will have an ample choice as per your requirement.
Kapil V wrote a review May 2018,40,New Delhi - Bengaluru,Domestic,"New Delhi - Bengaluru
Domestic
Premium Economy",A comfortable flight,"Air Vistara is good in their services, and being a new airlines they have good air crafts, which are comfortable for the passengers.

The quality of the food is also good, which comes in a good & hygienic packaging."
Manju H wrote a review May 2018,50,Port Blair - New Delhi,Domestic,"Port Blair - New Delhi
Domestic
Economy",Superb Airline,"This is the best Desi Airline experience so far. I have flown with them already 3-4 times and already my favourite. The staff is courteous and their no non-sense attire is superb in my view. I would also rate their customer care very high, as they are very efficient. Plus, the Club Vistara registration helps you with the meal, seat preference and your miles gets accredited to your CV account real soon. Great initiative by Tata's and Singapore airlines. 5 out of 5"
Dr. Mahesh N S wrote a review May 2018,50,New Delhi - Bengaluru,Domestic,"New Delhi - Bengaluru
Domestic
Economy",late night flight from Delhi to Bengaluru,First time experience with vistara. Felt delighted with service and quality of food. Crew was very accommodative. Very smooth landing
SANDEEP DALAL wrote a review May 2018,50,New Delhi - Pune,Domestic,"New Delhi - Pune
Domestic
Economy",Vistara has emerged as a nice option,"Vistara airlines has emerged as a very good airline amid abysmally poor service of no frills low cost air careers.
Vistara is low cost air career with old world charm of full service airlines.
Will try to choose Vistara now onwards."
26Travel123 wrote a review May 2018,40,Goa - New Delhi,Domestic,"Goa - New Delhi
Domestic
Economy",Good Airlines,"Its was the first flight with Vistara Airlines, but very nice experience. Flight crew members are nicely dressed-up and very polite mannered. Food was excellent and quite warm. I life the service and recommend to others to fly."
